"Date","A3429047X","A3429305C","A3430466R","A3367261X","A3371350C","A3372970K","A3361741A","A3544885R","A3362683J","A3369868F","A3428192A","A3359203A","A3373603A","A3370438C","A3371419R","A3366400V","A3591637F","A3362770F","A3544967V","A3368974T","A3363316X","A3359206J","A3427379J","A3545052R","A3359311K","A3373132T","A85253426W","A3545054V","A3545055W","A3545056X","A3430469W","A3545192T","A83834212F","A3360988K","A3360463V","A3363457C","A3359929L","A3367438V","A3363985J","A3591889A","A3373186X","A3360466A","A3594008V","A3372130V","A3364498T","A3426005W","A3428474X","A3362245J","A3425102F","A3544886T","A3363703X","A3360748X","A3371353K","A3359104V","A3360751L","A3372406W","A3362260F","A3544887V","A3364795L","A3362686R","A3430211L","A3591638J","A83834719T","A3366403A","A3361861V","A3363817W","A3374554K","A3364894V","A3365359K","A3370939A","A3371965X","A3363319F","A3362341J","A3372475A","A3544968W","A3362773L","A3364342W","A3427913W","A3361486C","A83834572K","A3374140K","A3366484R","A3374143T","A3360916X","A3364429L","A3372031L","A3369058C","A3373138F","A3371497W","A3364432A","A3545058C","A3370495X","A3371500X","A3426878J","A3360469J","A83833990J","A3606208V","A3359932A","A3361999K","A3362455F","A3373189F","A3368014J","A3365527K","A3363988R","A3372133A","A3366958F","A3360472W","A3369112F","A83834857R","A84931600W","A3387020J","A84931606K","A3398093A","A3378071R","A3395900F","A3386186R","A3383954R","A3387050W","A3393659K","A3391508R","A3377387T","A3387053C","A84931607L","A3551932A","A3396062X","A3387896A","A3393020W","A3396761K","A3395300A","A3396065F","A3378920W","A3398225T","A3396068L","A3383330T","A3375386C","A3389348X","A84931608R","A3385019L","A3396173R","A3391781C","A3381182R","A3376229T","A3610749L","A3386435T","A3379019X","A3551229X","A3396878R","A84931609T","A3397625K","A3383522K","A3388805A","A3381275A","A3386573R","A84931768A","A3389555R","A3375599J","A3376943A","A3424499W","A3432053C","A3370834F","A3427148X","A3360253W","A3365803V","A3374467L","A3363715J","A3359116C","A3370336R","A3363718R","A3367276R","A3361318T","A3369877J","A3360772X","A3373513W","A3427619J","A3369946A","A3371437V","A3373615K","A3373618T","A3358723L","A3361417X","A3374089R","A3373069L","A3366424L","A3372493F","A3366427V","A3606196W","A3370951T","A3360862C","A3368995C","A3430739K","A3366493T","A3371005R","A3365464L","A3545078L","A85253429C","A3374647W","A3428750J","A3427145T","A3363202A","A3430736C","A3363721C","A3605142W","A3424808R","A3361420L","A3363331W","A3429893K","A3374650K","A3368515F","A3373144A","A3360409F","A3372049K","A3360412V","A3371503F","A3367948V","A3545081A","A3429044T","A3432650A","A3371872L","A3426611W","A83834635J","A3369067F","A3373147J","A3365959R","A3362851J","A3367951J","A3372052X","A3359314T","A3364450F","A3370507W","A3371008W","A3371509V","A3370510K","A3373150W","A3545082C"
1990-12-01,"817530","14358","286","20","0","102","61","0","82","21","217","49","19","36","32","24","0","0","0","57","0","0","0","0","0","0","0","0","0","0","13855","535","0","77","0","3321","1218","3205","156","0","309","0","0","3911","1123","470922","48888","48888","9924","0","105","95","533","318","250","0","77","84","8","8454","17091","0","149","0","80","286","610","540","448","0","16","56","0","330","0","0","14576","166812","59","506","63761","48884","2293","4816","1435","49","3240","203","0","2110","0","30","39426","228207","0","126","0","2296","3623","16524","10279","1495","4580","5707","0","0","99228","84349","59481","299","299","7665","590","58","662","19","147","25","10","1665","138","4351","17221","10","1177","0","1655","1723","1323","0","574","3158","0","328","1157","6116","31992","290","2956","347","0","78","0","24807","455","0","3059","2304","0","0","0","0","0","0","0","2277","27","53968","0","0","14314","0","621","8255","609","24","149","0","0","3118","0","345","1193","39088","0","60","3872","6318","1203","3643","4414","601","0","386","0","0","3","0","18588","566","558","0","0","0","0","8","31780","0","0","0","0","0","0","0","0","31780","324","3297","89","140","0","50","27572","308","0","187021","6738","6738","180283","1963","84","117382","45418","268","3686","562","30","312","5","4744","4299","829","138","563"
1991-03-01,"839367","14734","292","34","0","89","73","0","77","19","221","42","17","51","40","22","0","0","0","49","0","0","0","0","0","0","0","0","0","0","14221","501","0","84","0","3499","1376","2817","154","0","355","0","0","4320","1115","487406","52733","52733","11139","0","179","57","467","387","176","0","95","81","10","9687","16979","0","94","0","124","357","738","470","392","0","16","55","0","362","0","0","14371","168614","70","559","66277","48480","2352","4106","1600","78","3191","192","0","2103","0","31","39575","237941","0","130","0","2485","3584","18890","11538","2242","5218","6837","0","0","101929","85088","59840","420","420","7034","638","53","661","15","163","93","0","1208","102","4101","17870","10","1249","0","1659","1769","1592","0","742","3310","0","335","1276","5928","32055","327","2802","295","0","80","0","25175","447","0","2929","2461","0","0","0","0","0","0","0","2433","28","55485","0","0","16800","0","1155","9345","1101","19","268","0","0","3379","95","372","1066","37954","0","60","4302","4771","1018","3729","4769","514","0","456","0","0","1","0","18334","731","731","0","0","0","0","0","33287","0","0","0","0","0","0","0","0","33287","331","3542","82","145","0","45","28453","689","0","188615","7172","7172","181443","1947","87","118415","45308","265","3279","385","38","291","7","5282","4433","980","143","583"
1991-06-01,"843619","14359","287","36","0","53","102","0","77","19","218","41","26","34","37","46","0","0","0","34","0","0","0","0","0","0","0","0","0","0","13854","465","0","87","0","3537","1312","2610","138","0","375","0","0","4219","1111","489755","48117","48117","11969","0","189","74","278","536","287","0","271","9","30","10295","17482","0","24","0","122","211","602","358","220","0","15","67","0","353","0","0","15510","167253","90","466","70007","45984","2517","4128","1573","51","3203","337","0","2517","0","33","36347","244934","0","134","0","2721","3153","19869","13288","3183","5405","7022","0","0","102945","87214","54633","268","268","4631","365","32","237","58","37","7","10","529","46","3310","17922","10","1108","0","1939","1876","1648","0","1066","3031","0","321","1309","5614","29803","420","2550","270","0","80","0","24318","447","0","1718","2009","0","0","0","0","0","0","0","1981","28","50823","0","0","11897","0","102","8341","544","9","96","0","0","1047","0","112","1646","38254","0","60","2665","6923","2248","4130","4499","578","0","596","0","0","2","0","16553","672","672","0","0","0","0","0","41614","0","0","0","0","0","88","44","44","41526","299","3534","98","150","0","40","36636","769","0","192435","6582","6582","185853","1932","91","121692","44870","264","3316","336","18","307","8","5765","5378","1131","142","603"
1991-09-01,"850493","13987","290","58","0","79","84","0","55","14","218","36","29","18","23","78","0","0","0","34","0","0","0","0","0","0","0","0","0","0","13479","408","0","100","0","3852","1748","2468","142","0","432","0","0","3150","1179","486656","46553","46553","11822","0","301","28","416","442","445","0","185","66","20","9919","16149","0","61","0","110","260","821","439","153","0","65","130","0","322","0","0","13788","160819","118","399","65554","44781","2516","4077","1496","72","2748","258","0","2386","0","29","36385","251313","0","327","0","2919","3183","20098","14048","3885","5737","8020","0","0","104343","88753","56256","479","479","4188","353","53","121","47","27","34","0","503","39","3011","18670","5","1400","0","2236","1867","1680","0","920","3569","0","367","1361","5265","31429","518","2322","348","0","80","0","25821","439","0","1901","1490","0","0","0","0","0","0","0","1463","27","56309","0","0","14053","0","1367","8907","448","57","108","0","0","1448","61","157","1500","41724","0","0","3588","7695","2735","4417","4638","1100","0","635","59","0","49","0","16808","532","456","0","0","0","0","76","44603","0","0","52","52","0","88","44","44","44463","309","3243","92","155","0","35","39381","1248","0","192682","6412","6412","186270","1966","84","122661","44389","296","3211","529","10","265","8","5321","5462","1285","151","632"
1991-12-01,"870656","13308","262","29","0","68","46","0","95","24","214","34","26","48","40","34","0","0","0","32","0","0","0","0","0","0","0","0","0","0","12832","314","0","108","0","4157","1580","1919","135","0","459","0","0","2965","1195","493855","42601","42601","9968","0","149","43","354","240","208","0","171","68","19","8716","16819","0","31","0","76","279","994","301","288","0","99","90","0","334","0","0","14327","162010","135","345","66102","43905","2589","3969","1329","49","2596","270","0","2393","0","34","38294","262457","0","315","0","3147","3206","21580","15613","5195","6396","8753","0","0","107119","91133","59106","294","294","3941","320","1","29","24","61","34","0","311","22","3139","20546","5","1272","0","2367","2186","2071","0","1289","3749","0","400","1457","5750","32686","505","3311","343","0","95","0","26416","438","0","1578","1639","0","0","0","0","0","0","0","1611","28","64641","0","0","16603","0","974","9434","399","39","1","66","0","2611","655","286","2138","46709","0","0","4617","7433","2971","4714","4621","1817","30","909","86","0","46","0","19465","1329","1208","0","0","0","0","121","44232","0","0","13","13","0","88","44","44","44131","343","3246","91","165","0","30","39044","1212","0","195514","6100","6100","189414","1855","87","125095","43529","290","3280","750","21","302","7","6412","5535","1439","154","658"
1992-03-01,"870895","12954","251","58","0","46","85","0","49","13","198","30","44","60","23","20","0","0","0","21","0","0","0","0","0","0","0","0","0","0","12505","302","0","95","0","4094","1515","1857","158","0","456","0","0","2836","1192","494586","45305","45305","11772","0","300","22","243","747","361","0","119","80","13","9887","15735","0","52","0","127","131","920","285","147","0","65","106","0","285","0","0","13617","159236","91","390","65445","41339","2555","3930","1212","174","2500","358","0","2286","0","36","38920","262538","0","316","0","2894","3095","21378","15157","4636","7306","8284","0","3","106599","92870","57640","334","334","3512","385","2","27","16","70","22","0","507","36","2447","19932","5","1080","0","2244","2114","1728","0","1354","3550","0","387","1562","5908","32557","553","2348","429","10","94","0","27214","429","0","1480","1305","0","0","0","0","0","0","0","1278","27","63078","0","0","18179","0","2046","10376","911","10","35","5","0","2357","307","257","1875","44395","0","0","7135","5928","1688","5000","4601","1352","0","821","255","0","280","0","17335","504","370","0","0","0","0","134","46093","0","0","36","36","0","88","44","44","45969","316","3319","91","175","0","25","40839","1204","0","196544","6514","6514","190030","1758","89","125386","43368","300","3362","843","37","349","8","6567","5529","1594","153","687"
1992-06-01,"887190","12656","362","72","0","82","137","0","57","14","241","47","22","67","49","24","0","0","0","32","0","0","0","0","0","0","0","0","0","0","12053","180","0","89","0","4396","1942","1124","230","0","466","0","0","2203","1423","504985","47052","47052","12086","0","376","0","430","720","174","1","167","19","19","10180","16526","0","104","0","244","355","1027","156","165","0","112","64","0","260","0","0","14039","158076","100","459","64704","40134","2886","3979","1256","0","2497","251","0","2332","0","35","39443","271245","0","341","0","2724","3095","23252","18882","4481","7792","8983","0","1","107818","93876","58116","279","279","3894","227","61","18","61","125","21","117","601","51","2612","20906","0","1142","0","2521","2306","1683","0","1385","3451","0","376","1676","6366","31646","486","1827","288","12","85","0","27436","181","0","1331","1391","0","0","0","0","0","0","0","1363","28","65316","0","0","13825","0","589","8536","837","11","80","38","0","2138","45","232","1319","51122","0","0","8637","8509","2115","7160","4743","2029","0","956","244","0","354","0","16375","369","271","0","0","0","0","98","47097","0","0","43","43","0","88","44","44","46966","200","3256","62","170","5","21","42334","918","0","199020","6662","6662","192358","1749","89","127512","44030","317","3412","391","20","377","4","6263","5578","1749","155","712"
1992-09-01,"899516","12959","328","58","0","77","113","0","64","16","235","56","11","66","50","10","0","0","0","42","0","0","798","21","771","5","0","0","0","1","11598","156","0","87","0","4516","2471","688","372","0","467","0","0","1395","1446","505586","47973","47973","13019","0","304","0","406","595","10","1","1081","68","120","10434","16481","0","114","0","367","346","823","239","106","5","80","109","0","307","0","0","13985","158952","127","302","65008","38726","2719","4012","1246","0","2592","301","0","2137","0","34","41748","269161","58","298","0","2597","3228","23618","18754","4848","8749","9087","0","1","108781","89142","59687","319","319","3748","231","22","19","79","212","0","74","337","26","2748","20926","0","731","0","1827","2329","1901","0","1346","4556","0","345","1855","6036","33463","474","2191","286","12","85","0","28049","177","0","2189","1231","0","0","0","0","0","0","0","1213","18","69117","0","0","14504","0","1158","10095","906","11","44","0","0","789","443","85","973","54370","0","43","9573","10137","2162","5597","5816","1128","0","1082","846","0","73","0","17913","243","90","0","0","0","0","153","49364","0","0","34","34","0","88","44","44","49242","201","3017","55","180","88","0","44621","1080","0","202803","6753","6753","196050","1745","92","138562","38140","302","3331","200","18","376","4","5030","5460","1892","155","743"
1992-12-01,"919462","12967","337","53","0","57","77","0","120","30","240","60","9","53","61","15","0","0","0","42","0","0","797","21","770","5","0","0","0","1","11593","147","0","109","0","4681","2484","659","356","0","481","0","0","1216","1460","513201","46460","46460","12611","0","273","0","299","400","16","1","1149","78","128","10267","17218","0","79","0","358","282","889","206","228","0","106","136","0","270","0","0","14664","156211","156","304","63445","37767","2915","3643","1278","0","2823","327","0","1739","0","70","41744","280701","69","303","0","2899","3163","25903","20060","7050","9999","8890","0","6","109606","92753","60046","446","446","4169","355","35","34","14","103","0","20","622","47","2939","20186","0","684","0","1561","2445","1503","0","1124","4651","0","352","1773","6093","33823","399","2340","263","15","88","0","28490","176","0","2052","1422","0","0","0","0","0","0","0","1403","19","78063","0","0","19683","0","2234","11745","1638","11","0","0","0","1545","1042","168","1300","58226","0","128","11374","10651","2158","5797","5828","1249","0","917","814","0","88","0","19222","154","54","0","0","0","0","100","52295","0","0","78","78","0","88","44","44","52129","231","4376","49","190","1","0","46178","1104","0","202890","6497","6497","196393","1631","92","139175","37406","325","3058","187","18","434","3","5706","5233","2035","319","771"
1993-03-01,"944491","13300","339","48","0","64","64","0","130","33","244","67","9","37","73","7","0","0","0","51","0","0","765","21","738","5","0","0","0","1","11952","139","0","113","0","4874","2424","633","460","0","489","0","0","1303","1517","530136","45960","45960","11924","0","251","0","338","338","0","1","1092","91","121","9692","16684","0","92","0","412","229","1125","191","154","0","131","137","0","305","0","0","13908","156530","168","432","63475","37178","2901","3702","1276","0","2909","283","0","1921","0","69","42216","299038","45","307","0","3311","3098","28417","22752","7993","11000","9724","0","7","111864","100520","61269","330","330","3954","386","6","3","9","91","0","30","730","54","2645","19118","0","641","0","1586","2593","1370","0","1064","4726","0","340","1390","5408","36259","394","2734","323","17","92","0","30571","171","0","1957","1608","0","0","0","0","0","0","0","1586","22","82786","0","0","16000","0","1821","10544","959","11","10","0","0","1014","364","109","1168","66501","0","0","13093","12514","3434","6372","7338","3246","0","1103","195","0","104","0","19102","285","168","0","0","0","0","117","54650","0","0","115","115","0","68","34","34","54467","302","4029","48","200","1","0","48766","1121","0","202350","6432","6432","195918","1492","94","138842","37570","316","3147","87","15","458","3","5437","5163","2178","313","803"
